doc_font_median,errors,garbled_hint,language,line_merges,logical_lines,marker_rejected_table,median_line_height,mode,pages,pdf_path,prefix_dropped,prefix_fixed,raw_lines,removed_decor,removed_header_footer,removed_page_num,strong_marker_ratio,strong_markers,toc_pages,type_heading,type_list-item,type_other,type_paragraph,type_title,unit_drafts,units,valid,weak_marker_ratio,weak_markers
11.0,,False,en,776,2481,0,12.364,marker_stack_tree,74,D:\code\Github\SLAC-test\SLAC\data\en\RIS-7704-INS-Iss-1.pdf,0,0,4035,0,590,262,0.162879,43,2,53,97,37,77,1,264,265,True,0.367424,97
11.04,,False,en,127,154,0,14.871,marker_stack_tree,8,D:\code\Github\SLAC-test\SLAC\data\en\TGIR_EXPLANATION_20200801.pdf,0,0,289,0,8,8,0.590909,13,1,8,1,2,12,,22,23,True,0.045455,1
11.04,,False,en,334,346,0,11.04,marker_stack_tree,23,D:\code\Github\SLAC-test\SLAC\data\en\TN2301-Iss-1.pdf,0,0,731,0,46,28,0.34375,11,,4,,1,27,1,32,33,True,0.0,0
9.703,,False,zh,56,616,0,11.159,marker_stack_tree,14,D:\code\Github\SLAC-test\SLAC\data\zh\13281-2008-gbt-e-300.pdf,0,0,761,0,14,89,0.884615,115,,78,,3,49,1,130,131,True,0.0,0
9.704,,False,en,102,256,0,9.704,weak_fallback,9,D:\code\Github\SLAC-test\SLAC\data\zh\20908-2007-gbt-e-300.pdf,0,0,358,0,8,1,0.0,0,,3,,1,6,,9,10,True,0.0,0
9.704,,False,zh,67,423,0,11.644,marker_stack_tree,13,D:\code\Github\SLAC-test\SLAC\data\zh\23430-2009-gbt-e-300.pdf,0,0,546,0,13,56,0.962441,205,,77,,1,135,1,213,214,True,0.0,0
9.704,,False,zh,38,318,0,22.96,marker_stack_tree,10,D:\code\Github\SLAC-test\SLAC\data\zh\25772-2010-gbt-e-300.pdf,0,0,421,0,10,65,0.934211,71,,36,,1,39,1,76,77,True,0.0,0
9.704,,False,zh,51,1513,0,22.96,marker_stack_tree,24,D:\code\Github\SLAC-test\SLAC\data\zh\30012-2013-gbt-cd-300.pdf,0,0,1653,0,24,89,0.949296,337,1,73,,2,280,1,355,356,True,0.0,0
9.704,,False,zh,33,417,0,24.512,marker_stack_tree,14,D:\code\Github\SLAC-test\SLAC\data\zh\30013-2013-gbt-e-300.pdf,0,0,470,0,14,20,0.950276,172,,49,,1,131,1,181,182,True,0.0,0
9.96,,False,zh,1030,20408,0,10.494,marker_stack_tree,321,D:\code\Github\SLAC-test\SLAC\data\zh\GB 50157-2013 地铁设计规范.pdf,2,0,23588,0,0,2471,0.934809,4603,"3,4,5,6,7,8,9,10,11",3396,8,47,1473,1,4924,4925,True,0.001625,8
19.658,,False,zh,10,263,0,21.545,marker_stack_tree,11,D:\code\Github\SLAC-test\SLAC\data\zh\GB+10493-2018.pdf,0,0,286,0,11,13,0.857143,54,,15,,1,47,1,63,64,True,0.0,0
15.826,,False,en,13,149,0,20.727,marker_stack_tree,7,D:\code\Github\SLAC-test\SLAC\data\zh\GB+146.1-2020.pdf,0,0,167,0,7,5,0.206897,6,,13,,10,6,1,29,30,True,0.0,0
