doc_font_median,errors,garbled_hint,language,line_merges,logical_lines,marker_rejected_table,median_line_height,mode,pages,pdf_path,prefix_dropped,prefix_fixed,raw_lines,removed_decor,removed_header_footer,removed_page_num,strong_marker_ratio,strong_markers,toc_pages,type_heading,type_list-item,type_other,type_paragraph,type_title,unit_drafts,units,valid,weak_marker_ratio,weak_markers
10.57,,False,zh,556,2702,0,10.0,marker_stack_tree,70,D:\code\Github\SLAC-test\SLAC\data\zh\铁路天然建筑材料工程地质勘察规程(附条文说明).pdf,1,0,3316,0,0,128,0.056818,5,,68,,8,12,1,88,89,True,0.0,0
15.96,,False,zh,186,468,0,15.96,marker_stack_tree,31,D:\code\Github\SLAC-test\SLAC\data\zh\铁路安全管理条例_20130817.pdf,0,0,632,0,0,9,0.538117,120,,119,83,1,20,1,223,224,True,0.372197,83
12.787,,False,zh,605,7812,0,14.799,marker_stack_tree,207,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程制图标准.pdf,40,0,8320,0,0,108,0.849956,963,"7,8,10,11,17",945,26,15,147,1,1133,1134,True,0.022948,26
14.0,,False,zh,1065,1829,0,18.676,marker_stack_tree,88,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程卫星定位测量规范(附条文说明).pdf,6,0,2848,0,0,41,0.123894,14,6,51,14,2,46,1,113,114,True,0.123894,14
12.325,,False,zh,1027,14032,0,14.804,marker_stack_tree,303,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质原位测试规程(附条文说明).pdf,101,0,14953,0,0,196,0.783802,1142,"0,5,6,7",1135,35,26,262,,1457,1458,True,0.024022,35
11.177,,False,zh,421,9976,0,13.139,marker_stack_tree,169,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程地质钻探规程(附条文说明).pdf,34,0,10418,0,0,187,0.892797,1066,,1061,7,1,125,1,1194,1195,True,0.005863,7
8.437,,False,zh,233,12111,0,9.371,marker_stack_tree,238,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程基本术语标准.pdf,189,0,12158,0,0,49,0.935206,2064,7,2002,26,2,177,1,2207,2208,True,0.011781,26
12.157,,False,zh,107,1729,0,13.846,marker_stack_tree,43,D:\code\Github\SLAC-test\SLAC\data\zh\铁路工程环境保护设计规范(附条文说明).pdf,8,0,1805,0,0,12,0.891697,247,,246,1,1,29,1,277,278,True,0.00361,1
9.183,,False,zh,180,3936,0,10.26,marker_stack_tree,72,D:\code\Github\SLAC-test\SLAC\data\zh\铁路房屋建筑设计标准(附条文说明).pdf,21,0,4068,0,0,24,0.910859,562,"3,4,8",533,3,5,76,1,617,618,True,0.004862,3
8.964,,False,zh,173,2989,0,11.523,marker_stack_tree,82,D:\code\Github\SLAC-test\SLAC\data\zh\铁路数字移动通信系统(GSM-R)设计规范(附条文说明).pdf,34,0,3094,0,0,14,0.911147,564,"7,8",506,,5,108,1,619,620,True,0.0,0
12.649,,False,zh,695,1854,0,12.0,weak_fallback,84,D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站建筑设计规范(2011年版).pdf,0,0,2710,0,0,245,0.0,0,,46,,7,45,1,98,99,True,0.0,0
8.744,,False,zh,472,5026,0,10.105,marker_stack_tree,118,D:\code\Github\SLAC-test\SLAC\data\zh\铁路旅客车站设计规范（附条文说明））(附2022年局部修订).pdf,60,0,5386,0,0,6,0.927522,947,"7,8,9",846,1,4,170,1,1021,1022,True,0.000979,1
8.514,,False,zh,72,1566,0,9.54,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢支座.pdf,5,0,1666,0,26,29,0.842105,128,,143,2,1,6,1,152,153,True,0.013158,2
12.123,,False,zh,369,7053,0,14.376,marker_stack_tree,144,D:\code\Github\SLAC-test\SLAC\data\zh\铁路桥梁钢结构设计规范(附条文说明).pdf,14,0,7497,0,0,218,0.713542,411,8,492,8,24,52,1,576,577,True,0.015625,9
4.823,,False,zh,245,3909,0,5.7,marker_stack_tree,44,D:\code\Github\SLAC-test\SLAC\data\zh\铁路混凝土结构耐久性设计规范(附条文说明).pdf,31,0,4408,0,0,298,0.731429,128,,135,5,1,34,1,175,176,True,0.028571,5
8.814,,False,zh,292,3216,0,10.26,marker_stack_tree,82,D:\code\Github\SLAC-test\SLAC\data\zh\铁路照明设计规范(附条文说明).pdf,11,0,3435,0,0,9,0.916918,607,"5,6",567,3,3,90,,662,663,True,0.004532,3
9.198,,False,zh,458,8677,0,10.767,marker_stack_tree,195,D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力工程施工质量验收标准(附条文说明).pdf,43,0,9114,0,0,174,0.870235,1073,"3,4,10,11,12,13",1019,15,12,187,1,1233,1234,True,0.012165,15
8.732,,False,zh,503,5176,0,10.26,marker_stack_tree,131,D:\code\Github\SLAC-test\SLAC\data\zh\铁路电力设计规范(附条文说明).pdf,26,0,5564,0,0,16,0.903156,830,"7,8,9",768,3,5,143,1,919,920,True,0.003264,3
8.727,,False,zh,2224,20178,0,9.97,marker_stack_tree,420,D:\code\Github\SLAC-test\SLAC\data\zh\铁路线路设计规范(附条文说明).pdf,100,0,22862,0,0,880,0.510668,742,7,918,31,160,344,1,1453,1454,True,0.021335,31
15.373,,False,zh,358,9831,0,20.43,marker_stack_tree,136,D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基支挡结构设计规范.pdf,19,0,10112,0,0,59,0.883568,941,"2,3",894,5,8,158,1,1065,1066,True,0.004695,5
8.388,,False,zh,29,855,0,9.694,marker_stack_tree,12,D:\code\Github\SLAC-test\SLAC\data\zh\铁路路基病害分类.pdf,6,0,883,0,9,2,0.871795,68,,76,,1,1,1,78,79,True,0.0,0
8.982,,False,zh,263,5177,0,11.038,marker_stack_tree,130,D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道工程施工安全技术规程(附条文说明).pdf,16,0,5328,0,0,18,0.948614,1403,"2,3,7,8,9",1243,3,6,227,1,1479,1480,True,0.002028,3
12.195,,False,zh,628,6969,0,13.921,marker_stack_tree,167,D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明) (1).pdf,29,0,7520,0,0,90,0.804317,559,"6,7",584,3,3,105,1,695,696,True,0.004317,3
12.195,,False,zh,628,6969,0,13.921,marker_stack_tree,167,D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范(附条文说明).pdf,29,0,7520,0,0,90,0.804317,559,"6,7",584,3,3,105,1,695,696,True,0.004317,3
9.48,,False,zh,2073,8973,0,9.96,marker_stack_tree,296,D:\code\Github\SLAC-test\SLAC\data\zh\铁路轨道设计规范（极限状态法）.pdf,2,0,12058,0,0,1307,0.743633,876,"6,7",783,7,25,363,1,1178,1179,True,0.005942,7
12.136,,False,zh,394,8641,0,14.185,marker_stack_tree,178,D:\code\Github\SLAC-test\SLAC\data\zh\铁路通信设计规范(附条文说明).pdf,100,0,8877,0,0,20,0.918489,1386,"7,8,9,10",1263,4,6,236,1,1509,1510,True,0.002651,4
8.537,,False,zh,60,692,0,10.37,marker_stack_tree,16,D:\code\Github\SLAC-test\SLAC\data\zh\铁路道岔转换设备 道岔外锁闭装置.pdf,7,0,759,0,12,11,0.890625,114,,110,2,1,15,1,128,129,True,0.015625,2
11.598,,False,zh,153,3820,0,12.997,marker_stack_tree,72,D:\code\Github\SLAC-test\SLAC\data\zh\铁路防雷及接地工程技术规范(附条文说明).pdf,24,0,3938,0,0,37,0.898148,485,7,490,2,3,45,1,540,541,True,0.003704,2
13.299,,False,zh,1265,15818,0,15.687,marker_stack_tree,334,D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道设计规范(附条文说明).pdf,115,0,16904,0,0,155,0.819322,1306,"0,8,9,10,11",1311,23,8,252,1,1594,1595,True,0.014429,23
9.426,,False,zh,221,2633,0,11.416,marker_stack_tree,70,D:\code\Github\SLAC-test\SLAC\data\zh\铁路隧道运营通风设计规范(附条文说明).pdf,6,0,2803,0,0,19,0.783217,224,6,229,6,2,49,1,286,287,True,0.020979,6
8.587,,False,zh,56,985,0,9.798,marker_stack_tree,20,D:\code\Github\SLAC-test\SLAC\data\zh\铁道客车及动车组空调装置运用试验方法.pdf,9,0,1054,0,20,13,0.83871,78,0,84,,2,7,1,93,94,True,0.0,0
15.96,,False,zh,150,447,0,15.96,marker_stack_tree,27,D:\code\Github\SLAC-test\SLAC\data\zh\长沙市轨道交通条例_20221021.pdf,0,0,597,0,0,27,0.485714,85,"0,13",86,71,3,15,1,175,176,True,0.405714,71
21.332,,False,zh,63,299,0,30.504,marker_stack_tree,11,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路岔区轨枕埋入式无砟轨道混凝土岔枕.pdf,3,0,397,0,11,35,0.52,13,,15,1,1,8,1,25,26,True,0.04,1
9.397,,False,zh,153,7106,0,11.655,marker_stack_tree,81,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路工程测量规范(附条文说明).pdf,22,0,7234,0,0,56,0.928505,1000,"5,6",901,16,3,157,1,1077,1078,True,0.014856,16
8.861,,False,zh,47,523,0,10.32,marker_stack_tree,16,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路无砟轨道不平顺谱.pdf,1,0,578,0,12,11,0.545455,36,,50,1,9,6,1,66,67,True,0.015152,1
12.095,,False,zh,375,9798,0,13.921,marker_stack_tree,215,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路桥涵工程施工质量验收标准(附条文说明).pdf,148,0,10014,0,0,55,0.896956,1532,"2,3,10,12",1439,7,5,257,1,1708,1709,True,0.004098,7
12.721,,False,zh,417,9073,0,14.401,marker_stack_tree,188,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路电力工程施工质量验收标准(附条文说明).pdf,25,0,9420,0,0,117,0.86745,1034,"2,3,10,11,12",1011,7,12,162,1,1192,1193,True,0.005872,7
33.813,,False,zh,23,856,0,37.0,marker_stack_tree,13,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路箱梁运梁车.pdf,11,0,878,0,9,3,0.945946,140,,128,,1,19,1,148,149,True,0.0,0
11.903,,False,zh,575,12788,0,13.683,marker_stack_tree,263,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路设计规范.pdf,199,0,13178,0,0,77,0.917842,2212,"7,8,9,10,11,12,13",2149,9,19,233,1,2410,2411,True,0.003734,9
12.127,,False,zh,830,16317,0,13.921,marker_stack_tree,316,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路路基工程施工质量验收标准(附条文说明).pdf,226,0,16895,0,0,62,0.884497,2014,"2,3,11",1942,11,6,318,1,2277,2278,True,0.004831,11
12.169,,False,zh,387,8342,0,13.921,marker_stack_tree,192,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路轨道工程施工质量验收标准(附条文说明).pdf,56,0,8575,0,0,37,0.900501,1258,"2,3,10,11,12,13",1188,,9,200,1,1397,1398,True,0.0,0
12.093,,False,zh,228,4854,0,13.921,marker_stack_tree,118,D:\code\Github\SLAC-test\SLAC\data\zh\高速铁路隧道工程施工质量验收标准(附条文说明).pdf,39,0,5017,0,0,50,0.890931,727,"2,3,10,11,12",684,2,6,124,1,816,817,True,0.002451,2
