errors,language,merged_lines,mode,pages,prefix_dropped,prefix_fixed,stitched_marker_fragments,strong_marker_ratio,strong_marker_starts,txt_path,units,valid,weak_marker_ratio,weak_marker_starts
,zh,1490,marker_stack_tree,1,0,0,0,0.989362,93,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+37439-2019.txt,95,True,0.0,0
,zh,292,marker_stack_tree,1,0,0,0,0.982301,222,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+37532-2019.txt,227,True,0.013274,3
,zh,878,marker_stack_tree,1,0,0,0,0.894737,17,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+38374-2019.txt,20,True,0.052632,1
,zh,97,marker_stack_tree,1,0,0,0,0.979798,97,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+38604.2-2020.txt,100,True,0.010101,1
,zh,1795,marker_stack_tree,1,0,0,0,0.997579,412,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+38695-2020.txt,414,True,0.0,0
,zh,106,marker_stack_tree,1,0,0,0,0.986226,358,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+38707-2020.txt,364,True,0.011019,4
,zh,292,marker_stack_tree,1,0,0,0,0.960317,121,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+38709-2020.txt,127,True,0.031746,4
,zh,449,marker_stack_tree,1,0,0,0,0.8,8,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+44554.6-2026.txt,11,True,0.1,1
,zh,833,marker_stack_tree,1,0,0,0,0.982456,56,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+5068-2019.txt,58,True,0.0,0
,zh,181,marker_stack_tree,1,0,0,0,0.908257,99,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GBT+7928-2025.txt,110,True,0.082569,9
,en,96,weak_fallback,1,0,0,0,0.0,0,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GEGN8502-iss-2.txt,3,True,0.5,1
,en,117,marker_stack_tree,1,0,0,0,0.8,4,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GEGN8618-Iss-1.txt,6,True,0.0,0
,en,111,weak_fallback,1,0,0,0,0.0,0,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GEGN8628-Iss-2.txt,4,True,0.666667,2
,en,64,weak_fallback,1,0,0,0,0.0,0,D:\code\Github\SLAC-test\SLAC\data\extracted_text\gert8000-hb17-iss-5.txt,4,True,1.0,3
,en,99,marker_stack_tree,1,0,0,0,0.333333,1,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GIGN7608-Iss-3.txt,4,True,0.333333,1
,en,310,marker_stack_tree,1,0,0,0,0.645161,20,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GMRT2045-Iss-4.txt,32,True,0.322581,10
,en,20,weak_fallback,1,0,0,0,0.0,0,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GMRT2111-Iss-3.txt,2,True,0.0,0
,en,555,marker_stack_tree,1,0,0,0,0.945946,35,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GMRT2142-Iss-41.txt,38,True,0.054054,2
,en,66,marker_stack_tree,1,0,0,0,0.5,1,D:\code\Github\SLAC-test\SLAC\data\extracted_text\GOGN3616-Iss-1-1.txt,3,True,0.0,0
,en,740,marker_stack_tree,1,0,0,7,0.533981,55,D:\code\Github\SLAC-test\SLAC\data\extracted_text\OJ%3AL_202600253%3AEN%3ATXT.txt,104,True,0.466019,48
,en,64,marker_stack_tree,1,0,0,0,0.888889,8,D:\code\Github\SLAC-test\SLAC\data\extracted_text\RIS-1800-ENE-Iss-1.txt,10,True,0.0,0
,en,11,marker_stack_tree,1,0,0,0,0.5,1,D:\code\Github\SLAC-test\SLAC\data\extracted_text\RIS-3413-TOM-Iss-2.txt,3,True,0.0,0
,en,25,marker_stack_tree,1,0,0,0,0.666667,2,D:\code\Github\SLAC-test\SLAC\data\extracted_text\RIS-3782-TOM-Iss-1.txt,4,True,0.0,0
,en,152,marker_stack_tree,1,0,0,0,0.2,16,D:\code\Github\SLAC-test\SLAC\data\extracted_text\RIS-7704-INS-Iss-1.txt,81,True,0.7875,63
,zh,1963,marker_stack_tree,1,0,0,3,0.997067,340,D:\code\Github\SLAC-test\SLAC\data\extracted_text\TB10082-2017 铁路轨道设计规范2017.txt,342,True,0.0,0
,zh,4061,marker_stack_tree,1,0,0,0,0.973822,186,D:\code\Github\SLAC-test\SLAC\data\extracted_text\TB10621-2014 高速铁路设计规范（条纹说明）.txt,192,True,0.020942,4
,zh,3103,marker_stack_tree,1,0,0,0,0.985075,132,D:\code\Github\SLAC-test\SLAC\data\extracted_text\TB10623-2014 城际铁路设计规范（条文说明）.txt,135,True,0.007463,1
,en,13,marker_stack_tree,1,0,0,0,0.909091,10,D:\code\Github\SLAC-test\SLAC\data\extracted_text\TGIR_EXPLANATION_20200801.txt,12,True,0.090909,1
,en,41,marker_stack_tree,1,0,0,0,0.166667,1,D:\code\Github\SLAC-test\SLAC\data\extracted_text\TN2301-Iss-1.txt,7,True,0.833333,5
,zh,8124,marker_stack_tree,1,27,0,0,0.937581,721,D:\code\Github\SLAC-test\SLAC\data\extracted_text\Ⅲ、Ⅳ级铁路设计规范.txt,770,True,0.061118,47
,zh,38,marker_stack_tree,1,0,0,0,0.8,4,D:\code\Github\SLAC-test\SLAC\data\extracted_text\上海市轨道交通管理条例_20210825.txt,6,True,0.0,0
,zh,23,marker_stack_tree,1,0,0,0,0.9,9,D:\code\Github\SLAC-test\SLAC\data\extracted_text\中华人民共和国铁路法_20150424.txt,11,True,0.0,0
,zh,157,marker_stack_tree,1,0,0,0,0.923077,12,D:\code\Github\SLAC-test\SLAC\data\extracted_text\交办运[2019]17号《城市轨道交通初期运营前安 (1).txt,14,True,0.0,0
,en,376,marker_stack_tree,1,0,0,0,0.734375,47,D:\code\Github\SLAC-test\SLAC\data\extracted_text\公路与铁路两用桥梁通用技术要求.txt,65,True,0.25,16
,zh,40,marker_stack_tree,1,0,0,0,0.857143,6,D:\code\Github\SLAC-test\SLAC\data\extracted_text\北京市轨道交通运营安全条例_.txt,8,True,0.0,0
,zh,8579,marker_stack_tree,1,96,0,0,0.987013,532,D:\code\Github\SLAC-test\SLAC\data\extracted_text\地下铁道工程施工质量验收标准.txt,540,True,0.011132,6
,zh,2271,marker_stack_tree,1,0,0,0,0.958333,69,D:\code\Github\SLAC-test\SLAC\data\extracted_text\地铁快线设计标准(附条文说明).txt,73,True,0.027778,2
,zh,11334,marker_stack_tree,1,88,0,0,0.968237,884,D:\code\Github\SLAC-test\SLAC\data\extracted_text\地铁设计规范.txt,914,True,0.030668,28
,zh,2225,marker_stack_tree,1,5,0,0,0.820312,105,D:\code\Github\SLAC-test\SLAC\data\extracted_text\地铁限界标准(附条文说明).txt,129,True,0.171875,22
,zh,1669,marker_stack_tree,1,0,0,0,0.870968,27,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通工程基本术语标准.txt,32,True,0.096774,3
,zh,362,marker_stack_tree,1,59,0,0,0.86087,99,D:\code\Github\SLAC-test\SLAC\data\extracted_text\城市轨道交通技术规范.txt,116,True,0.130435,15
