pdf_path,pages,scanned_pages,ocr_pages,pdftotext_pages,garbled_pages,garbled_ratio,skipped_image_only_pages,dropped_noise_spans_total,ocr_backend,ocr_available
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25338.1-2019.pdf,12,12,4,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.1-2019.pdf,10,10,1,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+25341.3-2024.pdf,27,27,0,0,0,0.0,5,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+28426-2021.pdf,14,14,3,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+32383-2020.pdf,17,17,11,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36505-2018.pdf,24,24,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+36543-2018.pdf,26,26,2,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37439-2019.pdf,35,35,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+37532-2019.pdf,23,23,9,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38374-2019.pdf,56,56,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38604.2-2020.pdf,12,12,2,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38695-2020.pdf,77,77,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38707-2020.pdf,25,25,12,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+38709-2020.pdf,37,37,22,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+44554.6-2026.pdf,27,27,8,0,0,0.0,2,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+5068-2019.pdf,16,16,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\GBT+7928-2025.pdf,23,23,0,0,0,0.0,3,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\TB10082-2017 铁路轨道设计规范2017.pdf,170,170,2,0,1,0.005882,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\TB10621-2014 高速铁路设计规范（条纹说明）.pdf,404,404,14,0,1,0.002475,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\TB10623-2014 城际铁路设计规范（条文说明）.pdf,290,290,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\Ⅲ、Ⅳ级铁路设计规范.pdf,333,333,333,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\上海市轨道交通管理条例_20210825.pdf,18,18,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\中华人民共和国铁路法_20150424.pdf,16,16,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\交办运[2019]17号《城市轨道交通初期运营前安 (1).pdf,48,48,1,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\公路与铁路两用桥梁通用技术要求.pdf,17,17,17,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\北京市轨道交通运营安全条例_.pdf,27,27,0,0,0,0.0,0,0,tesseract,True
D:\code\Github\SLAC-test\SLAC\data\zh\地下铁道工程施工质量验收标准.pdf,588,588,3,0,0,0.0,0,0,tesseract,True
